[2019-08-12 14:32:25,291] ERROR [Consumer clientId=_confluent-ksql-default_transient_848798392407087437_1565645453353-d3e2eb54-e443-4c30-836b-4d4ada16a0ab-StreamThread-4-consumer, groupId=_confluent-ksql-default_transient_848798392407087437_1565645453353] Offset commit failed on partition pageviews-0 at offset 91488: The coordinator is not aware of this member. (org.apache.kafka.clients.consumer.internals.ConsumerCoordinator:1098)
[2019-08-12 15:22:28,846] ERROR [Consumer clientId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-06121001-3354-4335-b36b-cc581f7b90cf-StreamThread-1-consumer, groupId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0] Offset commit failed on partition pageviews-0 at offset 149250: The coordinator is not aware of this member. (org.apache.kafka.clients.consumer.internals.ConsumerCoordinator:1098)
[2019-08-12 15:22:28,862] ERROR [Consumer clientId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-06121001-3354-4335-b36b-cc581f7b90cf-StreamThread-3-consumer, groupId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0] Offset commit failed on partition _confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-Aggregate-groupby-repartition-0 at offset 14440: The coordinator is not aware of this member. (org.apache.kafka.clients.consumer.internals.ConsumerCoordinator:1098)
[2019-08-12 15:23:20,222] ERROR [Consumer clientId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-06121001-3354-4335-b36b-cc581f7b90cf-StreamThread-1-consumer, groupId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0] Offset commit failed on partition _confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-Aggregate-groupby-repartition-0 at offset 15608: The coordinator is not aware of this member. (org.apache.kafka.clients.consumer.internals.ConsumerCoordinator:1098)
[2019-08-12 15:23:35,496] ERROR [Consumer clientId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-06121001-3354-4335-b36b-cc581f7b90cf-StreamThread-3-consumer, groupId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0] Offset commit failed on partition pageviews-0 at offset 150547: The group is rebalancing, so a rejoin is needed. (org.apache.kafka.clients.consumer.internals.ConsumerCoordinator:1098)
[2019-08-12 15:24:52,839] ERROR [Consumer clientId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-06121001-3354-4335-b36b-cc581f7b90cf-StreamThread-2-consumer, groupId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0] Offset commit failed on partition pageviews-0 at offset 152713: The coordinator is not aware of this member. (org.apache.kafka.clients.consumer.internals.ConsumerCoordinator:1098)
[2019-08-12 15:24:52,851] ERROR [Consumer clientId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-06121001-3354-4335-b36b-cc581f7b90cf-StreamThread-4-consumer, groupId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0] Offset commit failed on partition _confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-Aggregate-groupby-repartition-0 at offset 18045: The coordinator is not aware of this member. (org.apache.kafka.clients.consumer.internals.ConsumerCoordinator:1098)
[2019-08-12 15:29:28,331] ERROR [Consumer clientId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-06121001-3354-4335-b36b-cc581f7b90cf-StreamThread-2-consumer, groupId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0] Offset commit failed on partition pageviews-0 at offset 157832: The coordinator is not aware of this member. (org.apache.kafka.clients.consumer.internals.ConsumerCoordinator:1098)
[2019-08-12 16:22:04,962] ERROR [Consumer clientId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-06121001-3354-4335-b36b-cc581f7b90cf-StreamThread-3-consumer, groupId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0] Offset commit failed on partition _confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-Aggregate-groupby-repartition-0 at offset 83060: The coordinator is not aware of this member. (org.apache.kafka.clients.consumer.internals.ConsumerCoordinator:1098)
[2019-08-12 16:22:04,974] ERROR [Consumer clientId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0-06121001-3354-4335-b36b-cc581f7b90cf-StreamThread-2-consumer, groupId=_confluent-ksql-default_query_CTAS_USER_VIEWS_PER_HOUR_0] Offset commit failed on partition pageviews-0 at offset 217679: The coordinator is not aware of this member. (org.apache.kafka.clients.consumer.internals.ConsumerCoordinator:1098)
[2019-08-12 16:22:05,004] ERROR [Consumer clientId=_confluent-ksql-default_transient_5777020162214508601_1565652102826-974590a2-c96a-4735-aae8-8f93f8d5374f-StreamThread-2-consumer, groupId=_confluent-ksql-default_transient_5777020162214508601_1565652102826] Offset commit failed on partition USER_VIEWS_PER_HOUR-0 at offset 17071: The coordinator is not aware of this member. (org.apache.kafka.clients.consumer.internals.ConsumerCoordinator:1098)
